Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
Mexico;2022;Malware;Banking;97.55;857843;Hacker Group;Zero-day;AI-based Detection;68
Japan;2023;DDoS;Education;85.53;576869;Unknown;Weak Passwords;Encryption;91
South Korea;2022;SQL Injection;Government;79.21;700924;Nation-state;Zero-day;Firewall;81
France;2024;SQL Injection;Government;59.78;62993;Nation-state;Zero-day;Firewall;24
Mexico;2016;SQL Injection;IT;69.39;85915;Nation-state;Zero-day;Firewall;78
Spain;2020;Ransomware;IT;21.99;648348;Insider;Weak Passwords;AI-based Detection;69
Germany;2024;DDoS;Banking;73.03;964108;Nation-state;Social Engineering;Encryption;61
UK;2021;SQL Injection;Healthcare;65.86;19344;Hacker Group;Zero-day;Firewall;76
France;2015;SQL Injection;Healthcare;70.21;409261;Hacker Group;Zero-day;Firewall;86
Israel;2016;Malware;Education;3.52;549168;Unknown;Weak Passwords;Encryption;67
Canada;2018;Phishing;Telecommunications;61.12;859828;Nation-state;Social Engineering;VPN;69
Japan;2023;Man-in-the-Middle;Education;24.67;91975;Insider;Zero-day;VPN;34
South Africa;2021;SQL Injection;Retail;44.76;478907;Insider;Zero-day;Firewall;110
UK;2020;Ransomware;Healthcare;71.62;639908;Nation-state;Weak Passwords;AI-based Detection;88
India;2019;Ransomware;Government;73.74;581747;Insider;Weak Passwords;Antivirus;54
France;2015;DDoS;Banking;14.92;162099;Nation-state;Unpatched Software;Antivirus;58
Japan;2015;DDoS;Healthcare;13.14;315662;Insider;Weak Passwords;Firewall;62
France;2015;Phishing;Education;49.38;11371;Unknown;Social Engineering;Antivirus;99
Mexico;2024;DDoS;Education;3.27;876768;Hacker Group;Zero-day;VPN;36
India;2020;Man-in-the-Middle;Retail;52.77;747768;Insider;Weak Passwords;AI-based Detection;114
South Korea;2023;Phishing;Government;20.53;667789;Insider;Social Engineering;Antivirus;36
Italy;2021;Ransomware;IT;56.56;493143;Hacker Group;Weak Passwords;Antivirus;53
Mexico;2021;SQL Injection;IT;5.89;222544;Insider;Zero-day;Firewall;69
Japan;2015;SQL Injection;Education;78.86;906540;Insider;Zero-day;Firewall;73
USA;2024;Man-in-the-Middle;Telecommunications;20.99;500392;Hacker Group;Weak Passwords;Firewall;61
Brazil;2022;Man-in-the-Middle;IT;75.48;148361;Hacker Group;Unpatched Software;Antivirus;96
Germany;2015;Malware;Government;9.24;835601;Nation-state;Social Engineering;AI-based Detection;39
Germany;2023;Man-in-the-Middle;Healthcare;20.14;650824;Insider;Unpatched Software;Antivirus;108
Iran;2015;Malware;Retail;41.82;305153;Nation-state;Zero-day;AI-based Detection;120
Germany;2017;Ransomware;Government;7.9;195532;Insider;Weak Passwords;VPN;43
China;2020;Man-in-the-Middle;Healthcare;59.33;109496;Hacker Group;Unpatched Software;VPN;110
France;2019;Ransomware;Banking;30.82;600948;Insider;Weak Passwords;Antivirus;29
Mexico;2024;DDoS;IT;64.33;391194;Nation-state;Unpatched Software;Encryption;99
Mexico;2017;Ransomware;Banking;31.7;162966;Unknown;Weak Passwords;VPN;27
Israel;2019;Malware;Healthcare;58.08;911105;Insider;Weak Passwords;VPN;106
France;2021;Malware;Government;66.74;78513;Hacker Group;Weak Passwords;AI-based Detection;92
Iran;2020;Ransomware;Banking;54.91;369032;Insider;Weak Passwords;AI-based Detection;48
South Korea;2020;SQL Injection;IT;91.61;913045;Unknown;Zero-day;Firewall;35
China;2021;SQL Injection;IT;89.88;605123;Hacker Group;Zero-day;Firewall;73
Canada;2017;Malware;Banking;59.7;279535;Hacker Group;Weak Passwords;VPN;47
South Korea;2016;DDoS;Government;58.08;80254;Nation-state;Social Engineering;VPN;24
USA;2016;Ransomware;IT;16.03;513526;Unknown;Weak Passwords;Encryption;87
France;2021;Ransomware;IT;38.88;848632;Hacker Group;Weak Passwords;Antivirus;73
Japan;2020;Phishing;Healthcare;20.02;862265;Unknown;Social Engineering;VPN;71
UK;2016;SQL Injection;Telecommunications;89.61;744367;Unknown;Zero-day;Firewall;117
Spain;2020;DDoS;Telecommunications;59.07;465622;Hacker Group;Unpatched Software;AI-based Detection;108
Iran;2021;Malware;Retail;51.71;790863;Insider;Weak Passwords;VPN;111
Germany;2021;DDoS;Telecommunications;55.26;551945;Hacker Group;Zero-day;Antivirus;106
Mexico;2016;Man-in-the-Middle;Retail;88.2;148693;Hacker Group;Social Engineering;Antivirus;32
Spain;2023;Phishing;IT;81.46;392676;Unknown;Social Engineering;Antivirus;28
Canada;2024;Man-in-the-Middle;IT;45.65;777418;Unknown;Unpatched Software;Encryption;104
Iran;2024;Ransomware;Retail;87.13;210841;Unknown;Weak Passwords;Firewall;64
Nigeria;2019;SQL Injection;Government;33.0;962037;Nation-state;Zero-day;Firewall;115
Canada;2021;Ransomware;Healthcare;80.12;392088;Unknown;Weak Passwords;AI-based Detection;109
Germany;2019;Man-in-the-Middle;Healthcare;90.64;275579;Unknown;Social Engineering;VPN;81
France;2016;Malware;Government;32.93;987869;Unknown;Zero-day;Antivirus;26
Germany;2023;Malware;Government;5.29;383094;Unknown;Social Engineering;Firewall;35
Nigeria;2020;SQL Injection;Banking;50.34;419135;Hacker Group;Zero-day;Firewall;119
South Africa;2015;Malware;Education;65.71;766673;Hacker Group;Social Engineering;Firewall;48
Spain;2023;Man-in-the-Middle;Education;76.78;921469;Unknown;Weak Passwords;AI-based Detection;94
Brazil;2023;Man-in-the-Middle;Retail;92.56;387868;Nation-state;Social Engineering;Encryption;49
South Korea;2017;SQL Injection;Telecommunications;72.7;845590;Unknown;Zero-day;Firewall;33
Australia;2017;DDoS;Banking;6.85;212755;Unknown;Weak Passwords;VPN;87
India;2024;DDoS;Government;22.51;201482;Unknown;Unpatched Software;VPN;80
Italy;2015;DDoS;Banking;17.84;383170;Nation-state;Weak Passwords;Antivirus;116
France;2021;SQL Injection;Government;5.78;895036;Hacker Group;Zero-day;Firewall;70
South Africa;2022;SQL Injection;Banking;87.87;302306;Hacker Group;Zero-day;Firewall;82
Mexico;2024;Ransomware;Government;97.78;541048;Nation-state;Weak Passwords;Antivirus;82
Brazil;2022;Phishing;Telecommunications;6.11;507282;Unknown;Social Engineering;VPN;64
Japan;2022;Man-in-the-Middle;Education;58.92;217016;Nation-state;Zero-day;Firewall;81
Italy;2019;Malware;Healthcare;21.53;483412;Nation-state;Unpatched Software;VPN;33
USA;2018;Man-in-the-Middle;Government;72.59;437818;Insider;Weak Passwords;AI-based Detection;92
Spain;2024;Phishing;Healthcare;49.46;248948;Insider;Social Engineering;VPN;111
Brazil;2023;Man-in-the-Middle;Retail;51.24;839785;Insider;Social Engineering;VPN;45
Japan;2021;Phishing;Government;87.75;713527;Hacker Group;Social Engineering;VPN;65
South Korea;2022;Malware;Education;49.76;983844;Unknown;Weak Passwords;Antivirus;64
Japan;2024;Ransomware;Retail;2.01;944852;Nation-state;Weak Passwords;Firewall;49
South Korea;2016;DDoS;Telecommunications;77.88;638523;Insider;Unpatched Software;Antivirus;25
Canada;2022;DDoS;IT;73.38;212656;Hacker Group;Unpatched Software;Encryption;35
Canada;2019;Phishing;Education;28.7;682552;Nation-state;Social Engineering;Antivirus;61
Mexico;2023;SQL Injection;Banking;74.24;525394;Insider;Zero-day;Firewall;73
South Korea;2020;Phishing;Healthcare;33.24;240007;Unknown;Social Engineering;VPN;46
South Africa;2021;Ransomware;Retail;50.76;583775;Nation-state;Weak Passwords;AI-based Detection;109
Spain;2023;Phishing;Telecommunications;39.23;258638;Unknown;Social Engineering;VPN;68
South Africa;2020;Malware;Retail;12.99;690311;Hacker Group;Unpatched Software;AI-based Detection;53
UK;2017;SQL Injection;Telecommunications;87.72;627948;Hacker Group;Zero-day;Firewall;104
Italy;2016;Ransomware;Education;33.21;407651;Hacker Group;Weak Passwords;Firewall;30
South Africa;2020;SQL Injection;Government;12.82;923230;Unknown;Zero-day;Firewall;69
Iran;2015;SQL Injection;IT;7.27;931126;Nation-state;Zero-day;Firewall;36
Australia;2017;Phishing;Healthcare;72.0;726783;Nation-state;Social Engineering;Antivirus;108
Russia;2019;Ransomware;Banking;37.73;743191;Nation-state;Weak Passwords;Antivirus;26
USA;2022;DDoS;Telecommunications;79.62;543317;Hacker Group;Weak Passwords;AI-based Detection;41
Italy;2023;Phishing;Retail;33.08;111059;Hacker Group;Social Engineering;Antivirus;33
India;2015;Phishing;IT;85.37;184467;Hacker Group;Social Engineering;VPN;36
China;2015;Phishing;Banking;44.41;674230;Unknown;Social Engineering;VPN;86
Mexico;2015;Malware;Government;23.75;919147;Unknown;Social Engineering;Encryption;71
Japan;2020;SQL Injection;Education;46.74;780505;Insider;Zero-day;Firewall;53
South Korea;2021;Man-in-the-Middle;Telecommunications;38.69;996965;Nation-state;Weak Passwords;Encryption;35
Japan;2016;DDoS;IT;16.85;98752;Insider;Social Engineering;Firewall;91
South Korea;2015;Ransomware;Education;42.75;91408;Unknown;Weak Passwords;VPN;78
UK;2017;Phishing;Retail;30.97;907842;Insider;Social Engineering;Antivirus;106
USA;2022;DDoS;Government;59.54;786890;Nation-state;Weak Passwords;Encryption;62
India;2023;Phishing;Healthcare;20.14;506747;Unknown;Social Engineering;Antivirus;54
Iran;2023;DDoS;IT;73.78;508693;Unknown;Zero-day;Antivirus;96
Russia;2022;DDoS;Education;17.81;509426;Insider;Weak Passwords;Firewall;94
Spain;2016;DDoS;Retail;40.46;14450;Nation-state;Zero-day;Encryption;90
Germany;2020;Phishing;IT;77.22;531712;Hacker Group;Social Engineering;VPN;24
Nigeria;2022;DDoS;Banking;81.43;321399;Nation-state;Unpatched Software;AI-based Detection;49
Australia;2017;Malware;Education;22.68;82689;Nation-state;Zero-day;Antivirus;109
India;2021;DDoS;IT;52.21;976146;Hacker Group;Weak Passwords;VPN;81
Mexico;2018;SQL Injection;Banking;9.42;173206;Nation-state;Zero-day;Firewall;66
China;2022;Phishing;Government;70.54;841489;Hacker Group;Social Engineering;VPN;76
Australia;2018;SQL Injection;Healthcare;4.52;747871;Nation-state;Zero-day;Firewall;76
Iran;2018;SQL Injection;Education;7.99;287771;Nation-state;Zero-day;Firewall;58
Nigeria;2017;Man-in-the-Middle;Healthcare;17.97;499957;Hacker Group;Weak Passwords;VPN;60
UK;2018;DDoS;Retail;24.46;601607;Hacker Group;Unpatched Software;AI-based Detection;84
France;2023;Malware;Healthcare;9.11;198999;Insider;Weak Passwords;Encryption;26
Brazil;2021;Man-in-the-Middle;Telecommunications;10.68;521331;Insider;Zero-day;Encryption;58
Italy;2021;Phishing;Education;51.89;316717;Insider;Social Engineering;VPN;94
Mexico;2021;Ransomware;Government;63.83;429871;Nation-state;Weak Passwords;Antivirus;28
Spain;2019;Ransomware;Government;13.38;408249;Unknown;Weak Passwords;Antivirus;31
Canada;2023;Man-in-the-Middle;IT;63.55;133352;Hacker Group;Unpatched Software;Encryption;57
Canada;2022;Phishing;Education;13.73;794515;Insider;Social Engineering;Antivirus;43
Germany;2015;Phishing;Retail;16.98;994175;Unknown;Social Engineering;Antivirus;47
India;2024;DDoS;Banking;24.8;712374;Nation-state;Social Engineering;VPN;80
Germany;2022;Malware;Telecommunications;24.09;478077;Unknown;Unpatched Software;VPN;25
China;2020;DDoS;IT;21.3;896942;Insider;Zero-day;AI-based Detection;94
India;2022;Ransomware;Healthcare;49.83;746346;Unknown;Weak Passwords;Encryption;64
Israel;2023;Ransomware;Education;54.55;954754;Nation-state;Weak Passwords;Antivirus;29
USA;2016;Malware;Banking;10.1;204524;Hacker Group;Zero-day;VPN;77
India;2016;DDoS;IT;24.85;238176;Insider;Social Engineering;Encryption;104
Canada;2017;Man-in-the-Middle;Education;42.3;147768;Insider;Zero-day;Antivirus;43
Mexico;2022;Phishing;Government;73.03;631029;Insider;Social Engineering;VPN;48
Israel;2023;Man-in-the-Middle;Healthcare;74.59;282794;Hacker Group;Weak Passwords;Firewall;84
Germany;2016;Phishing;Healthcare;23.2;915119;Nation-state;Social Engineering;Antivirus;42
China;2017;Malware;Government;57.71;180670;Hacker Group;Weak Passwords;AI-based Detection;100
India;2021;DDoS;IT;13.97;246035;Nation-state;Weak Passwords;Antivirus;113
South Africa;2017;Ransomware;Retail;68.92;331770;Nation-state;Weak Passwords;Firewall;112
Iran;2021;DDoS;IT;5.51;863730;Hacker Group;Zero-day;Encryption;39
Russia;2022;Malware;Education;28.44;242207;Insider;Unpatched Software;Antivirus;55
Israel;2016;Man-in-the-Middle;Education;69.67;387795;Unknown;Social Engineering;Encryption;57
Brazil;2023;Malware;Retail;86.52;525324;Nation-state;Unpatched Software;Antivirus;34
Iran;2015;Phishing;Education;75.9;172436;Nation-state;Social Engineering;VPN;76
Iran;2020;Ransomware;Healthcare;66.23;247629;Unknown;Weak Passwords;Encryption;38
Japan;2015;Man-in-the-Middle;Telecommunications;70.14;269656;Unknown;Social Engineering;VPN;55
Mexico;2018;DDoS;IT;55.44;95611;Nation-state;Zero-day;Antivirus;105
Iran;2019;DDoS;Banking;61.99;940614;Insider;Zero-day;Firewall;97
Russia;2019;Ransomware;IT;13.07;969945;Nation-state;Weak Passwords;VPN;24
Japan;2017;Ransomware;Telecommunications;90.94;755350;Unknown;Weak Passwords;AI-based Detection;87
Brazil;2018;DDoS;Retail;10.08;529990;Insider;Zero-day;Firewall;104
Iran;2021;Ransomware;Retail;72.8;255447;Insider;Weak Passwords;AI-based Detection;31
Russia;2015;SQL Injection;Healthcare;79.55;122958;Insider;Zero-day;Firewall;44
Japan;2022;Phishing;Telecommunications;56.72;910803;Hacker Group;Social Engineering;VPN;69
UK;2017;SQL Injection;Telecommunications;63.44;326085;Insider;Zero-day;Firewall;46
Canada;2015;Phishing;Retail;47.8;113660;Insider;Social Engineering;VPN;31
China;2023;Malware;Education;10.44;705863;Unknown;Unpatched Software;Antivirus;78
Nigeria;2018;DDoS;Telecommunications;91.0;508702;Insider;Unpatched Software;VPN;105
Germany;2017;Phishing;Telecommunications;96.06;514719;Nation-state;Social Engineering;VPN;43
Mexico;2023;Malware;Education;4.05;791584;Hacker Group;Unpatched Software;Encryption;39
USA;2018;Man-in-the-Middle;Government;92.5;152556;Nation-state;Unpatched Software;AI-based Detection;88
USA;2018;Man-in-the-Middle;Retail;74.0;679403;Insider;Unpatched Software;VPN;66
France;2018;Phishing;Banking;67.88;816557;Nation-state;Social Engineering;Antivirus;94
Italy;2023;Man-in-the-Middle;Telecommunications;57.93;444060;Hacker Group;Unpatched Software;VPN;117
Nigeria;2017;Ransomware;Healthcare;69.55;816961;Nation-state;Weak Passwords;Firewall;111
UK;2021;Ransomware;Government;89.61;255453;Unknown;Weak Passwords;Antivirus;68
USA;2015;Malware;Retail;88.01;317015;Insider;Zero-day;Encryption;118
Iran;2021;Phishing;Telecommunications;27.02;767466;Nation-state;Social Engineering;VPN;67
France;2019;Phishing;Government;98.57;137072;Hacker Group;Social Engineering;Antivirus;46
Iran;2018;SQL Injection;Healthcare;84.57;339160;Hacker Group;Zero-day;Firewall;31
Australia;2023;SQL Injection;Telecommunications;8.35;826930;Hacker Group;Zero-day;Firewall;95
China;2021;Man-in-the-Middle;Healthcare;52.62;994262;Hacker Group;Social Engineering;Firewall;73
Canada;2024;DDoS;Education;25.64;663575;Hacker Group;Social Engineering;Antivirus;70
Australia;2023;Ransomware;IT;92.5;859250;Unknown;Weak Passwords;Firewall;98
Iran;2020;Phishing;Telecommunications;27.95;79156;Hacker Group;Social Engineering;VPN;85
India;2024;Phishing;Retail;82.07;347319;Unknown;Social Engineering;VPN;94
Israel;2023;Man-in-the-Middle;Government;95.38;245951;Unknown;Weak Passwords;Encryption;78
Brazil;2020;Ransomware;Healthcare;49.84;187373;Insider;Weak Passwords;Firewall;67
Germany;2023;Malware;IT;58.41;544372;Hacker Group;Zero-day;AI-based Detection;80
Nigeria;2024;SQL Injection;Banking;83.96;670637;Nation-state;Zero-day;Firewall;31
China;2015;Phishing;Education;95.04;354131;Hacker Group;Social Engineering;Antivirus;38
Brazil;2018;Man-in-the-Middle;Education;12.46;809800;Insider;Unpatched Software;VPN;24
Canada;2017;Man-in-the-Middle;Education;54.86;124829;Insider;Unpatched Software;AI-based Detection;111
South Korea;2022;Malware;Healthcare;47.01;101926;Hacker Group;Weak Passwords;VPN;57
China;2018;Phishing;IT;8.35;246003;Nation-state;Social Engineering;VPN;30
Nigeria;2023;Man-in-the-Middle;IT;3.59;952148;Unknown;Unpatched Software;Antivirus;94
UK;2023;DDoS;Banking;99.03;252084;Insider;Social Engineering;VPN;25
Canada;2023;Man-in-the-Middle;Government;30.23;592107;Unknown;Weak Passwords;Firewall;68
Germany;2023;SQL Injection;Telecommunications;76.11;477104;Unknown;Zero-day;Firewall;57
Russia;2016;Malware;Telecommunications;31.41;977201;Unknown;Weak Passwords;Antivirus;102
Israel;2020;Man-in-the-Middle;Telecommunications;64.22;737503;Hacker Group;Weak Passwords;VPN;85
Mexico;2021;Malware;Education;74.0;989961;Insider;Weak Passwords;Antivirus;65
Brazil;2023;Phishing;Banking;42.72;983622;Unknown;Social Engineering;Antivirus;49
China;2023;Malware;Government;44.75;115937;Nation-state;Zero-day;Encryption;53
South Africa;2016;Phishing;Retail;42.25;792291;Nation-state;Social Engineering;VPN;25
Spain;2022;Malware;IT;32.44;821310;Insider;Zero-day;Firewall;58
South Korea;2018;DDoS;Education;71.56;189698;Hacker Group;Zero-day;Encryption;39
Japan;2015;Phishing;IT;26.51;572352;Insider;Social Engineering;Antivirus;116
Israel;2019;DDoS;Retail;22.21;928150;Hacker Group;Social Engineering;Antivirus;68
Nigeria;2020;Phishing;IT;22.65;692030;Nation-state;Social Engineering;Antivirus;62
South Korea;2020;Man-in-the-Middle;Banking;90.45;203905;Insider;Zero-day;AI-based Detection;39
Germany;2023;Malware;Telecommunications;57.68;987881;Nation-state;Weak Passwords;Antivirus;112
India;2021;Man-in-the-Middle;Retail;92.73;263205;Hacker Group;Weak Passwords;VPN;85
Germany;2023;Phishing;Banking;63.45;612734;Hacker Group;Social Engineering;Antivirus;92
France;2017;Malware;Education;52.78;87028;Nation-state;Unpatched Software;Encryption;98
Germany;2022;Ransomware;Healthcare;98.88;727715;Insider;Weak Passwords;VPN;45
Brazil;2018;Malware;Government;61.76;409940;Nation-state;Unpatched Software;Encryption;28
Canada;2023;Malware;Telecommunications;7.74;565803;Unknown;Unpatched Software;AI-based Detection;74
Spain;2016;SQL Injection;Telecommunications;22.49;818324;Nation-state;Zero-day;Firewall;35
South Africa;2020;SQL Injection;Banking;5.6;204436;Hacker Group;Zero-day;Firewall;82
USA;2023;Phishing;Banking;79.57;849192;Hacker Group;Social Engineering;VPN;42
Canada;2019;SQL Injection;Education;4.66;584567;Hacker Group;Zero-day;Firewall;69
USA;2015;Man-in-the-Middle;Telecommunications;1.78;77376;Insider;Zero-day;Encryption;46
Germany;2015;Phishing;Healthcare;89.12;262661;Hacker Group;Social Engineering;VPN;89
Canada;2024;Malware;IT;53.78;228022;Insider;Unpatched Software;Encryption;59
China;2020;Ransomware;Healthcare;9.8;231548;Unknown;Weak Passwords;VPN;46
USA;2019;Phishing;Education;87.07;330377;Nation-state;Social Engineering;VPN;111
China;2020;Malware;IT;64.88;308072;Unknown;Social Engineering;AI-based Detection;47
France;2024;Ransomware;Banking;71.0;820383;Insider;Weak Passwords;Encryption;102
Canada;2018;Phishing;IT;8.81;30435;Unknown;Social Engineering;Antivirus;32
France;2017;Phishing;Telecommunications;42.26;193610;Insider;Social Engineering;Antivirus;68
South Africa;2017;Ransomware;Education;69.89;985415;Insider;Weak Passwords;AI-based Detection;62
UK;2016;Malware;Healthcare;20.21;303102;Nation-state;Zero-day;VPN;107
India;2024;Phishing;Telecommunications;30.92;33648;Hacker Group;Social Engineering;VPN;27
Iran;2015;Malware;Education;83.08;988124;Nation-state;Weak Passwords;Firewall;100
Germany;2021;Malware;Government;45.09;485458;Insider;Unpatched Software;VPN;76
USA;2016;SQL Injection;Healthcare;29.84;862481;Insider;Zero-day;Firewall;33
Nigeria;2022;Phishing;Healthcare;5.81;552926;Insider;Social Engineering;VPN;82
